,LBC Inventory List（02/17/2026）,,,,,,,
,Material,Leoch Part Number,Sto.Loction,Qty.Avail,,,,
,10040500019,PLC+C 180FT(T8),Dallas,16.00,,,,
,10110100035,LDC12-140(T11),Califonia,0.00,,,,
,10110100035,LDC12-140(T11),Dallas,139.00,,,,
,10110101641,LDC6-265-GC2 T11(M8),Dallas,824.00,,,,
,10120100011,LDC6-224-GC2(T11),Califonia,61.00,,,,
,10120100011,LDC6-224-GC2(T11),Dallas,45.00,,,,
,10120100012,LDC12-90-G24-DT,TX AGED,62.00,,,,
,10120100016,LDC12-105-G27-DT,Califonia,37.00,,,,
,10120100016,LDC12-105-G27-DT,CA AGED,1.00,,,,
,10120100016,LDC12-105-G27-DT,TX AGED,1.00,,,,
,10120100016,LDC12-105-G27-DT,Dallas,30.00,,,,
,10120100017,LDC12-115-G31-DT DT,CA AGED,11.00,,,,
,10120100018,LDC6-350(DT-3/8),Dallas,40.00,,,,
,10120100019,LDC8-180-GC8,Dallas,118.00,,,,
,10120100022,LDC6-210-GC2,CA AGED,6.00,,,,
,10120100041,LDC8-210-GC8H(T11),TX AGED,7.00,,,,
,10120100047,LDC12-115-G31-T,CA AGED,1.00,,,,
,10120100047,LDC12-115-G31-T(T11),Califonia,195.00,,,,
,10120100047,LDC12-115-G31-T(T11),Dallas,91.00,,,,
,10120100183,LDC12-220,CA AGED,8.00,,,,
,10120100812,LDC6-400-L16,Califonia,1.00,,,,
,10120100812,LDC6-400-L16,Dallas,168.00,,,,
,10130500512,DT-L16,Califonia,50.00,,,,
,10130500512,DT-L16,Dallas,20.00,,,,
,10170100018,LDC12-330-8D,Dallas,12.00,,,,
,10180103682,24M-525,CA AGED,9.00,,,,
,10180108945,35-550,Dallas,120.00,,,,
,10180108946,26R-575,Dallas,123.00,,,,
,10190101305,AGM-94R-800(H7/L4),Dallas,36.00,,,,
,10190101305,AGM-94R-800 (H7/L4),Califonia,144.00,,,,
,10200300406,MX15-4-1,TX AGED,40.00,,,,
,10200300536,MX20-3,Califonia,398.00,,,,
,10200300536,MX20-3,Dallas,220.00,,,,
,10200300539,MX16-4-3,TX AGED,64.00,,,,
,10200300540,MX18-3-3,TX AGED,64.00,,,,
,10200300610,MX30-3,Califonia,136.00,,,,
,10200300610,MX30-3,Dallas,178.00,,,,
,10200300612,MX12-4-3,TX AGED,50.00,,,,
,10200300616,MX14-3,CA AGED,40.00,,,,
,10200300617,MX14-4,TX AGED,102.00,,,,
,10200300617,MX14-4,Dallas,184.00,,,,
,10200400317,EB14C-4,CA AGED,94.00,,,,
,10200400432,EB20H-3,CA AGED,250.00,,,,
,10200401727,EB16B-3-1-PW,TX AGED,60.00,,,,
,10200600766,EBZ10-BS,TX AGED,85.00,,,,
,10200600913,LBX4L-BS,Dallas,150.00,,,,
,10200600914,LBX5L-BS,Dallas,160.00,,,,
,10200600915,LBX7A-BS,Dallas,100.00,,,,
,10200600918,LBX14-BS,Dallas,604.00,,,,
,10210200205,LB14A-A2,TX AGED,72.00,,,,
,10990901990,MKS-GP51105A,LEC-Dallas,84.00,,,,
,10990901991,MKS-GP51160,LEC-Dallas,84.00,,,,
,11050100077,LFELI-48100B,Dallas,2.00,,,,
,11050100572,LFELI-48100E,Dallas,1.00,,,,
,11050100893,LFELI-48100T-DF,Dallas,20.00,,,,
,11050100893,LFELI-48100T-BK,LEC-Dallas,56.00,,,,
,11050100958,LFELI-48200T-SNMP,Dallas,50.00,,,,
,11050100959,LFELI-48100T-SNMP,Dallas,45.00,,,,
,11050101030,LFELI-48100T-DF,Dallas,8.00,,,,
,10010101392,LP12-4.5(1.48KG),Califonia,1.00,,,,
,10010101392,LP12-4.5(1.48KG),CA AGED,563.00,,,,
,10010101521,LP12-4.5(1.6KG),Dallas,154.00,,,,
,10010101718,LP12-7.2(T1),CA AGED,200.00,,,,
,10010102582,LP12-6.0W(T2),Dallas,463.00,,,,
,10010102880,LPX12-7FR(T2),TX AGED,122.00,,,,
,10010103288,LP12-7.0(T2),CA AGED,154.00,,,,
,10010103687,LPX12-9FR(T2),Califonia,447.00,,,,
,10010103687,LPX12-9FR(T2),CA AGED,464.00,,,,
,10010103687,LPX12-9FR(T2),Dallas,178.00,,,,
,10010103791,LPL12-18(T3),Califonia,160.00,,,,
,10010103791,LPL12-18(T3),Dallas,498.00,,,,
,10010103891,LPX12-5.4FR(T2),CA AGED,174.00,,,,
,10010104573,LP12-12(T2),Dallas,"1,435.00",,,,
,10010106623,LP12-18(T3),Dallas,568.00,,,,
,10010106757,LP12-35(T5),Califonia,39.00,,,,
,10010106757,LP12-35(T5),TX AGED,30.00,,,,
,10010106757,LP12-35(T5),Dallas,2.00,,,,
,10010108157,LP12-1.2(T1),CA AGED,185.00,,,,
,10010108157,LP12-1.2(T1),Dallas,86.00,,,,
,10010108767,LP12-9(T2),Califonia,0.00,,,,
,10010108767,LP12-9(T2),Dallas,590.00,,,,
,10010108779,LP6-4.5(T1),Califonia,300.00,,,,
,10010108779,LP6-4.5(T1),Dallas,60.00,,,,
,10010109606,LP12-7.2(T1),CA AGED,26.00,,,,
,10010109606,LP12-7.2(T1),Dallas,"2,746.00",,,,
,10010130820,LPX12-5.4FR(T2),Califonia,"1,100.00",,,,
,10010130821,LPX12-5.4FR(T2),CA AGED,15.00,,,,
,10020100857,LP6-200H(T11),Califonia,35.00,,,,
,10020100857,LP6-200H(T11),Dallas,86.00,,,,
,10020100902,LPL12-150FR(T11),Califonia,23.00,,,,
,10020100902,LPL12-150FR(T11),CA AGED,29.00,,,,
,10020102750,LPL12-75(T6),Califonia,120.00,,,,
,10020103179,LPL12-55(T6),CA AGED,9.00,,,,
,10020103842,LPL12-75(T6),CA AGED,2.00,,,,
,10020103943,LPL12-75(T14),CA AGED,68.00,,,,
,10020106704,XP12-300FR(T6),Califonia,71.00,,,,
,10020106704,XP12-300FR(T6),Dallas,305.00,,,,
,10020106705,XP12-350FR,TX AGED,6.00,,,,
,10020106705,XP12-350FR(T6),Califonia,148.00,,,,
,10020106705,XP12-350FR(T6),CA AGED,6.00,,,,
,10020106705,XP12-350FR(T6),Dallas,276.00,,,,
